	Imos	Latitude	Longitude
0	AAA	43.25	76.92
1	ABG	18.638	72.872
2	ABK	68.358	18.823
3	AIA	-65.245	-64.25799999999998
4	API	-13.815	171.781
5	ARS	56.433	58.567
6	ASC	-7.95	-14.379999999999995
7	ASP	-23.762	133.883
8	BDV	49.08	14.02
9	BEL	51.84	20.79
10	BFO	48.331	8.325
11	BLC	64.318	-96.012
12	BMT	40.3	116.2
13	BOU	40.14	-105.233
14	BOX	58.07	38.23
15	BRD	49.87	-99.97390000000001
16	BRW	71.32	-156.62
17	BSL	30.35	-89.63999999999999
18	CBB	69.123	-105.031
19	CKI	-12.1875	96.8336
20	CLF	48.025	2.26
21	CMO	64.87	-147.86
22	CNB	-35.32	149.36
23	CPL	72.7065	78.9192
24	CSY	-66.283	110.533
25	CTA	-20.09	146.264
26	CYG	36.37	126.854
27	CZT	-46.43	51.87
28	DED	70.36	-148.79
29	DLT	11.94	108.48
30	DOU	50.1	4.6
31	DRV	-66.67	140.01
32	DUR	41.39	14.28
34	ESK	55.314	-3.2060000000000173
35	EYR	-43.474	172.393
36	FCC	58.759	-94.08800000000002
37	FRD	38.21	-77.36700000000002
38	FRN	37.09	-119.72
39	FUR	48.17	11.28
40	GAN	-0.6946	73.15374
41	GCK	44.633	20.767
42	GDH	69.252	-53.533000000000015
43	GNG	-31.356	115.715
44	GUA	13.59	144.87
45	GUI	28.321	-16.440999999999974
46	HAD	51.0	-4.480000000000018
47	HBK	-25.88	27.71
48	HER	-34.43	19.23
49	HLP	54.61	18.82
50	HON	21.32	-158.0
51	HRB	47.873	18.19
52	HRN	77.0	15.55
53	HUA	-12.05	-75.32999999999998
54	HYB	17.42	78.55
55	IPM	-27.1713	-109.41999999999999
56	IQA	63.753	-68.51799999999997
57	IRT	52.27	104.45
58	IZN	40.5	29.72
59	JAI	26.92	75.8
60	JCO	70.356	148.799
61	KAK	36.232	140.186
62	KDU	-12.69	132.47
63	KEP	-54.2821	-36.49290000000002
64	KHB	47.61	134.69
65	KIV	50.72	30.3
66	KMH	-26.54	18.11
67	KNY	31.42	130.88
68	KOU	5.21	-52.73000000000002
69	LER	60.138	-1.1829999999999927
70	LON	45.4081	16.6592
71	LRM	-22.22	114.1
72	LVV	49.9	23.75
73	LYC	64.612	18.748
74	MAB	50.298	5.682
75	MAW	-67.6	62.88
76	MCQ	-54.5	158.95
77	MEA	54.616	-113.34700000000001
78	MGD	60.051	150.728
79	MMB	43.91	144.19
80	NAQ	61.167	-45.43299999999999
81	NCK	47.63	16.72
82	NEW	48.27	-117.12
83	NGK	52.07	12.68
84	NUR	60.51	24.66
85	NVS	54.85	83.23
86	ORC	-60.737	-44.74000000000001
87	OTT	45.403	-75.55200000000002
88	PAF	-49.35	70.26
89	PAG	42.515	24.177
90	PEG	38.1	23.9
91	PET	52.971	158.248
92	PHU	21.03	105.95
93	PIL	-31.4	-63.879999999999995
94	PPT	-17.567	-149.574
95	PST	-51.7	-57.889999999999986
96	RES	74.69	-94.89499999999998
97	SBA	-77.85	166.762
98	SBL	43.9321	-60.0095
99	SFS	36.667	-5.944999999999993
100	SHE	-15.961	-5.747000000000014
101	SHU	55.35	-160.46
102	SIT	57.06	-135.33
103	SJG	18.11	-66.14999999999998
104	SOD	67.37	26.63
106	SPT	39.55	-4.35
107	STJ	47.595	-52.67700000000002
108	SUA	44.68	26.25
109	TAM	22.79	5.53
110	TDC	-37.067	-12.316
111	THL	77.47	-69.22699999999998
112	THY	46.9	17.89
113	TRW	-43.267	-65.38299999999998
114	TSU	-19.202	17.584
115	TTB	-1.205	-48.51299999999998
116	TUC	32.17	-110.72999999999999
117	UPS	59.903	17.353
118	VAL	51.933	-10.25
119	VIC	48.52	-123.41999999999999
120	VNA	-70.683	-8.283
121	VOS	-78.464	106.835
122	VSS	-22.4	-43.64999999999998
123	WIC	47.9305	15.8657
124	WNG	53.725	9.053
125	YAK	61.96	129.66
126	YKC	62.48	-114.482
