Imos	Name	Latitude	Longitude	Elevation	Notes
AAE	Addis Ababa, Ethiopia	9.035	38.77	2441.0	closed
ABG	Alibag, India	18.638	72.872	7.0	
ABK	Abisko, Sweden	68.358	18.823	380.0	
AIA	Vernadsky, Agentine Islands	-65.245	295.742	10.0	
ALE	Alert, Canada	82.497	297.647	60.0	closed
AMS	Martin de Vivies, French Southern Territories	-37.8	77.57	50.0	no longer IMO
API	Apia, Western Samoa	-13.816	188.219	2.0	
AQU	L'Aquila, Italy	42.38	13.32	682.0	closed
ARS	Arti, Russia	56.433	58.567	290.0	
ASC	Ascension Island	-7.95	345.62	177.0	
ASP	Alice Springs, Australia	-23.762	133.883	557.0	
BDV	Budkov, Czech Republic	49.08	14.02	496.0	
BEL	Belsk, Poland	51.836	20.789	180.0	
BFE	Brorfelde, Denmark	55.625	11.672	80.0	
BFO	Black Forest Observatory, Germany	48.331	8.325	641.0	
BLC	Baker Lake, Canada	64.318	263.988	30.0	
BMT	Beijing Ming Tombs, China	40.3	116.2	183.0	
BNG	Bangui, Central African Republic	4.33	18.57	395.0	closed
BOU	Boulder, USA	40.14	254.767	1682.0	
BOX	Borok, Russia	58.07	38.23	115.0	
BRD	Brandon, Canada	49.87	260.026	380.0	
BRW	Barrow, USA	71.32	203.38	12.0	
BSL	Stennis Space Center, USA	30.35	270.36	8.0	
CBB	Cambridge Bay, Canada	69.123	254.969	20.0	
CKI	Cokos (Keeling) Islands, Australia	-12.188	96.834	3.0	
CLF	Chambon la Foret, France	48.025	2.26	145.0	
CMO	College, USA	64.87	212.14	197.0	
CNB	Canberra, Australia	-35.32	149.36	859.0	
CNH	Changchun, China	44.08	124.86	187.0	no longer IMO
CPL	Choutuppal, India	17.294	78.919	360.0	
CSY	Casey, Australia	-66.283	110.533	41.0	
CTA	Charters Towers, Australia	-20.09	146.264	370.0	
CYG	Cheongyang, Republic of Korea	36.37	126.854	165.0	
CZT	Port Alfred, French Southern Territories	-46.43	51.86	160.0	no longer IMO
DED	Deadhorse, USA	70.36	211.21	10.0	
DLR	Del Rio, USA	29.49	259.083	355.0	closed
DLT	Dalat, Vietnam	11.95	108.48	1583.0	
DMC	Dome Concordia, Antarctica	-75.25	124.167	3250.0	no longer IMO
DOU	Dourbes, Belgium	50.1	4.6	225.0	
