Thesis project provisory header
IAGA CODE VSS
Latitude -22.4
Longitude -43.65
Elevation 457.0
Data denoise: No
External field reduction: No
CHAOS model correction: Yes

Date	VSSX	VSSY	VSSZ
2010-07-02 11:59:30	17361.002	-7021.72	-13966.459
2011-07-02 11:59:30	17261.643	-7015.822	-14070.745
2012-07-01 23:59:30	17167.044	-7008.084	-14161.706
2013-07-02 11:59:30	17065.079	-7003.653	-14265.972
2014-07-02 11:59:30	16974.991	-7001.988	-14361.613
2015-07-02 11:59:30	16881.266	-6993.689	-14468.786
2016-07-01 23:59:30	16785.624	-6982.21	-14580.701
2017-07-02 11:59:30	16689.103	-6968.642	-14691.212
2018-07-02 11:59:30	16592.074	-6951.492	-14802.531
2019-07-02 11:59:30	16492.488	-6930.807	-14916.458
2020-07-01 23:59:30	99999.0	99999.0	99999.0
