Thesis project provisory header
IAGA CODE VSS
Latitude -22.4
Longitude -43.65
Elevation 457.0
Data denoise: No
External field reduction: No
CHAOS model correction: Yes

Date	VSSX	VSSY	VSSZ
2010-01-01 11:59:30	17409.307	-7025.427	-13916.595
2010-01-02 11:59:30	17411.038	-7023.981	-13917.747
2010-01-03 11:59:30	17414.286	-7023.441	-13916.817
2010-01-04 11:59:30	17413.172	-7022.442	-13919.649
2010-01-05 11:59:30	17412.224	-7020.919	-13920.497
2010-01-06 11:59:30	17411.879	-7020.821	-13915.976
2010-01-07 11:59:30	17415.281	-7022.377	-13919.563
2010-01-08 11:59:30	17414.73	-7020.305	-13915.56
2010-01-09 11:59:30	17410.984	-7021.813	-13921.852
2010-01-10 11:59:30	17414.793	-7022.273	-13915.318
2010-01-11 11:59:30	17414.769	-7021.727	-13921.693
2010-01-12 11:59:30	17412.457	-7021.967	-13918.308
2010-01-13 11:59:30	17415.785	-7021.138	-13918.652
2010-01-14 11:59:30	17412.607	-7023.388	-13914.824
2010-01-15 11:59:30	17411.594	-7022.072	-13922.745
2010-01-16 11:59:30	17408.816	-7021.647	-13920.659
2010-01-17 11:59:30	17405.389	-7027.185	-13921.979
2010-01-18 11:59:30	17404.958	-7024.935	-13920.189
2010-01-19 11:59:30	17409.232	-7022.743	-13919.909
2010-01-20 11:59:30	17403.962	-7024.298	-13923.111
2010-01-21 11:59:30	17407.798	-7021.406	-13923.183
2010-01-22 11:59:30	17403.159	-7026.401	-13921.756
2010-01-23 11:59:30	17410.416	-7025.535	-13922.953
2010-01-24 11:59:30	17409.031	-7021.057	-13925.195
2010-01-25 11:59:30	17402.243	-7023.467	-13924.801
2010-01-26 11:59:30	17407.041	-7024.083	-13927.048
2010-01-27 11:59:30	17406.292	-7021.562	-13926.909
2010-01-28 11:59:30	17406.164	-7026.354	-13924.133
2010-01-29 11:59:30	17401.699	-7025.259	-13930.527
2010-01-30 11:59:30	17404.583	-7022.914	-13923.15
2010-01-31 11:59:30	17401.454	-7024.234	-13925.63
2010-02-01 11:59:30	17400.579	-7021.165	-13920.334
2010-02-02 11:59:30	17402.32	-7024.141	-13925.062
2010-02-03 11:59:30	17403.663	-7016.654	-13924.975
2010-02-04 11:59:30	17400.548	-7024.1	-13927.611
2010-02-05 11:59:30	17401.257	-7028.249	-13920.913
2010-02-06 11:59:30	17402.042	-7020.189	-13924.601
2010-02-07 11:59:30	17399.03	-7019.506	-13928.236
2010-02-08 11:59:30	17407.292	-7026.23	-13925.928
2010-02-09 11:59:30	17402.537	-7021.584	-13925.29
2010-02-10 11:59:30	17403.439	-7023.082	-13929.899
2010-02-11 11:59:30	17398.179	-7022.724	-13925.417
2010-02-12 11:59:30	17403.555	-7025.059	-13930.954
2010-02-13 11:59:30	17400.11	-7023.751	-13923.691
2010-02-14 11:59:30	17407.046	-7022.779	-13929.246
2010-02-15 11:59:30	17398.338	-7017.659	-13932.362
2010-02-16 11:59:30	17403.732	-7020.361	-13926.879
2010-02-17 11:59:30	17398.764	-7023.946	-13928.824
2010-02-18 11:59:30	17401.83	-7025.719	-13926.987
2010-02-19 11:59:30	17403.1	-7022.797	-13928.417
2010-02-20 11:59:30	17400.812	-7020.357	-13932.591
2010-02-21 11:59:30	17401.103	-7020.447	-13927.437
2010-02-22 11:59:30	17404.892	-7019.774	-13931.826
2010-02-23 11:59:30	17400.719	-7018.72	-13932.793
2010-02-24 11:59:30	17400.941	-7023.185	-13936.487
2010-02-25 11:59:30	17399.427	-7021.816	-13932.159
2010-02-26 11:59:30	17398.287	-7026.584	-13929.935
2010-02-27 11:59:30	17397.139	-7022.483	-13926.614
2010-02-28 11:59:30	17400.227	-7022.302	-13933.875
2010-03-01 11:59:30	17403.015	-7023.161	-13934.394
2010-03-02 11:59:30	17398.293	-7023.527	-13935.087
