Thesis project provisory header
IAGA CODE VSS
Latitude -22.4
Longitude -43.65
Elevation 457.0
Data denoise: No
External field reduction: No
CHAOS model correction: Yes

Date	VSSX	VSSY	VSSZ
2010-01-15	17409.263	-7023.135	-13921.191
2010-02-14	17401.461	-7022.334	-13928.191
2010-03-15	17391.959	-7023.626	-13936.306
2010-04-15	17378.141	-7022.424	-13943.828
2010-05-15	17369.103	-7018.594	-13951.591
2010-06-15	17361.025	-7021.436	-13959.516
2010-07-15	17353.665	-7023.208	-13968.949
2010-08-15	17345.669	-7021.554	-13979.673
2010-09-15	17340.82	-7021.809	-13987.163
2010-10-15	17333.26	-7021.679	-13995.883
2010-11-15	17326.642	-7020.958	-14006.448
2010-12-15	99999.0	99999.0	99999.0
2011-01-15	17310.094	-7019.36	-14029.602
2011-02-14	17302.206	-7019.28	-14034.638
2011-03-15	17292.271	-7020.464	-14039.823
2011-04-15	17279.477	-7018.93	-14048.628
2011-05-15	17269.697	-7014.809	-14056.319
2011-06-15	17259.621	-7015.106	-14064.092
2011-07-15	17252.948	-7013.27	-14072.481
2011-08-15	17240.881	-7016.991	-14084.257
2011-09-15	17243.421	-7013.329	-14091.462
2011-10-15	17237.619	-7013.147	-14098.301
2011-11-15	17233.914	-7014.228	-14107.333
2011-12-15	17221.723	-7011.444	-14118.642
2012-01-15	99999.0	99999.0	99999.0
2012-02-14	17202.035	-7009.101	-14133.883
2012-03-15	99999.0	99999.0	99999.0
2012-04-15	17176.598	-7009.859	99999.0
2012-05-15	17168.067	-7007.452	-14154.647
2012-06-15	17159.979	-7007.263	-14163.131
2012-07-15	17150.683	-7007.873	-14171.667
2012-08-15	17145.833	-7006.342	-14181.53
2012-09-15	17141.69	-7006.454	-14189.953
2012-10-15	17135.251	-7007.65	-14196.858
2012-11-15	99999.0	99999.0	99999.0
2012-12-15	99999.0	99999.0	99999.0
2013-01-15	17111.064	-7004.962	-14225.616
2013-02-14	17103.514	-7002.714	-14232.338
2013-03-15	17093.967	-7006.477	-14237.535
2013-04-15	17083.003	-7003.674	-14241.457
2013-05-15	17071.26	-7000.816	-14250.497
2013-06-15	17064.404	-7003.126	-14259.322
2013-07-15	17056.129	-7003.31	-14268.345
2013-08-15	17050.353	-7003.584	-14276.784
2013-09-15	17047.479	-7003.233	-14284.663
2013-10-15	17043.282	-7004.556	-14291.553
2013-11-15	17036.402	-7004.669	-14302.039
2013-12-15	17028.646	-7002.514	-14312.593
2014-01-15	17021.554	-7002.34	-14320.282
2014-02-14	17013.916	-7003.86	-14327.234
2014-03-15	17005.93	-7004.417	-14330.426
2014-04-15	16990.673	-7003.313	-14338.877
2014-05-15	16978.061	-7002.183	-14345.105
2014-06-15	16971.453	-7001.413	-14353.692
2014-07-15	16964.593	-7000.99	-14362.789
2014-08-15	16958.032	-7001.123	-14372.158
2014-09-15	99999.0	99999.0	99999.0
2014-10-15	16952.096	-7002.076	-14389.993
2014-11-15	16947.946	-7001.552	-14402.329
