Thesis project provisory header
IAGA CODE VSS
Latitude -22.4
Longitude -43.65
Elevation 457.0
Data denoise: No
External field reduction: No
CHAOS model correction: Yes

Date	VSSSV_X	VSSSV_Y	VSSSV_Z
2010-07-15	-99.168	3.775	-108.411
2010-08-15	-99.255	3.054	-106.448
2010-09-15	-99.688	3.162	-103.517
2010-10-15	-98.664	3.494	-104.801
2010-11-15	-99.406	3.785	-104.728
2011-01-15	-100.716	9.939	-103.532
2011-02-14	-104.788	4.563	-104.584
2011-03-15	-97.399	8.48	-104.298
2011-04-15	-95.641	8.532	-102.418
2011-05-15	-92.728	6.731	-100.885
2011-08-15	-100.171	10.179	-99.245
2011-10-15	-102.878	9.072	99999.0
2011-11-15	-101.63	7.357	-98.328
2011-12-15	-99.642	7.844	-99.04
2012-02-14	-95.049	10.649	-97.273
2012-04-15	-102.367	5.498	99999.0
2012-08-15	-98.521	6.387	-98.455
2012-10-15	-93.596	6.184	99999.0
2013-01-15	-94.554	4.563	-96.678
2013-02-14	-95.48	2.758	-95.254
2013-03-15	-94.211	3.221	-94.71
2013-04-15	-91.97	3.094	-94.695
2013-07-15	-89.51	2.622	-94.666
2013-08-15	-89.598	-1.145	-94.896
2013-09-15	-88.037	2.06	-92.891
2013-10-15	-92.33	0.362	-97.42
2013-11-15	-93.199	-1.367	-94.608
2013-12-15	-92.952	1.713	-94.371
2014-01-15	-91.536	2.321	-94.444
2014-02-14	-92.321	2.461	-95.374
2014-04-15	-91.186	2.48	-98.441
2014-05-15	-88.456	3.117	-100.29
2014-06-15	-88.847	3.918	-102.769
2014-07-15	-92.678	6.318	-103.351
2014-08-15	-92.468	5.653	-100.574
2014-10-15	-91.818	5.627	-104.066
2014-11-15	-89.516	6.998	-106.924
2014-12-15	-90.36	6.5	-106.879
2015-01-15	-91.962	8.061	-107.796
2015-02-14	-90.474	9.028	-109.519
2015-05-15	-96.867	12.384	-109.839
2015-06-15	-97.835	10.945	-109.459
2015-07-15	-94.856	7.947	-110.72
2015-08-15	-95.858	10.708	-113.549
2015-09-15	-95.927	11.47	-113.585
2015-11-15	-95.75	11.809	-112.464
2015-12-15	-95.507	13.289	-112.531
2016-01-15	-93.851	11.902	-112.593
2016-02-14	-96.812	11.498	-111.308
2016-03-15	-94.823	10.854	-110.851
2016-05-15	-97.57	11.374	-111.934
2016-06-15	-96.116	12.377	-110.399
2016-07-15	-96.908	13.408	-111.154
2016-08-15	-97.766	13.512	-112.022
2016-09-15	-96.819	14.379	-111.072
2016-10-15	-96.222	12.26	-109.195
2016-11-15	-95.332	13.579	-110.311
2016-12-15	-94.873	13.207	-110.618
2017-01-15	-96.686	13.373	-109.934
2017-02-14	-94.476	12.933	-111.456
2017-03-15	-96.535	13.452	-110.093
2017-04-15	-95.399	13.322	-108.939
2017-05-15	-97.041	13.955	-110.248
2017-06-15	-97.623	15.069	-108.709
2017-07-15	-95.423	14.228	-109.997
2017-08-15	-97.814	15.588	-109.408
2017-09-15	-96.292	14.379	-109.283
2017-10-15	-95.723	17.415	-112.45
2017-11-15	-96.494	15.976	-111.25
2017-12-15	-97.602	16.308	-110.832
2018-01-15	-95.362	17.114	-110.827
2018-02-14	-97.339	18.359	-110.836
2018-03-15	-97.922	19.149	-111.964
2018-04-15	-98.412	19.051	-112.775
2018-05-15	-97.599	19.136	-111.468
2018-06-15	-98.408	18.943	-114.303
2018-07-15	-100.743	21.659	-112.563
2018-08-15	-97.445	19.952	-113.203
2018-09-15	-98.831	20.468	-115.616
2018-10-15	-99.043	19.687	-112.506
2018-11-15	-99.14	20.436	-113.902
2018-12-15	-99.509	21.021	-114.629
2019-01-15	-100.963	20.44	-115.827
2019-02-14	-101.02	21.006	-114.595
2019-03-15	-99.185	20.517	-115.405
2019-04-15	-98.346	20.916	-114.015
2019-05-15	-100.274	21.505	-113.055
2019-06-15	-98.759	20.176	-110.058
2019-07-15	-98.006	21.496	-111.477
2019-08-15	-99.807	21.045	-111.818
2019-09-15	-101.724	21.13	-109.063
2019-10-15	-99.207	21.505	-110.396
