 X_RMS Y_RMS Z_RMS
ABG 4.73 6.211 5.479
AIA 2.027 2.037 3.378
API 4.884 5.277 4.382
ARS 1.399 1.269 3.159
ASC 2.416 3.441 2.729
BDV 1.359 1.142 1.447
BEL 2.135 1.279 1.545
BFO 1.445 1.37 0.975
BLC 8.78 4.152 8.774
BMT 1.896 1.588 1.699
BOU 1.91 1.633 1.782
BOX 2.064 2.372 2.575
BRD 2.825 2.825 3.914
BRW 10.596 6.512 7.418
BSL 2.359 42.963 3.055
CBB 8.702 11.379 9.13
CKI 2.275 1.519 2.306
CLF 1.24 0.95 1.163
CMO 9.105 4.518 4.151
CNB 1.685 1.285 1.369
CPL 4.93 3.337 5.488
CSY 9.17 4.185 8.344
CTA 2.218 1.715 1.732
CZT 2.757 2.405 2.955
DED 7.44 5.485 7.089
DLT 6.56 8.156 3.963
DOU 1.498 1.04 1.21
DRV 7.87 3.747 8.434
DUR 1.664 1.53 1.582
EBR 22.09 3.836 25.966
ESK 1.832 47.827 1.462
EYR 2.44 4.094 5.569
FCC 8.565 2.565 6.608
FRD 2.152 1.222 2.019
FRN 3.008 1.788 2.515
FUR 1.596 1.815 1.26
GAN 3.218 2.867 2.988
GCK 1.914 1.915 1.466
GDH 6.485 3.77 7.218
GNG 1.772 1.492 1.111
GUA 2.689 1.927 2.675
GUI 2.806 3.57 2.368
HAD 1.316 1.359 1.148
HBK 3.746 3.028 3.192
HER 1.842 1.67 1.563
HLP 2.237 2.69 2.348
HON 2.37 1.692 2.398
HRN 8.126 4.353 6.15
HUA 4.78 2.268 2.63
HYB 2.651 3.053 2.87
IPM 5.252 3.087 6.119
IQA 12.413 39.465 58.979
IRT 3.676 95.506 2.179
IZN 1.841 3.607 1.731
JAI 5.411 3.199 4.666
JCO 66.569 43.342 90.185
KAK 1.772 0.733 1.375
KDU 2.41 2.83 1.966
KEP 1.986 2.106 1.73
KIV 1.597 7.973 1.057
KMH 6.212 1.838 3.188
KNY 1.834 0.84 1.575
KOU 2.412 1.931 2.933
LER 2.813 2.22 3.318
LON 2.135 1.358 1.321
LRM 2.092 1.744 1.494
LVV 4.036 2.851 3.394
LYC 3.657 1.246 3.421
MAB 9.673 1.143 4.58
MAW 5.484 6.057 6.228
MCQ 6.484 3.506 4.976
MEA 6.002 3.22 5.281
MGD 1.519 1.737 2.116
MMB 1.67 0.792 1.159
NAQ 7.528 3.586 4.409
NCK 5.296 155.043 1.55
NEW 2.072 1.8 2.442
NGK 1.192 1.041 1.1
NUR 1.691 1.203 2.422
NVS 1.646 1.107 1.83
OTT 2.234 1.276 3.125
PAF 2.416 2.1 3.488
PAG 2.566 1.611 1.584
PET 1.655 2.927 5.593
PHU 3.852 5.413 3.899
PIL 3.241 3.923 1.907
PPT 24.601 11.796 50.227
PST 3.296 7.158 6.881
RES 6.697 3.959 8.743
SBA 10.41 12.605 16.151
SBL 1.969 1.534 1.802
SFS 408.886 684.898 1.597
SHE 1.94 1.415 1.154
SHU 3.971 3.931 2.576
SIT 3.176 1.981 4.305
SJG 2.352 2.613 2.044
SOD 7.367 1.625 4.075
SPT 1.424 1.098 1.252
STJ 2.567 3.06 3.273
SUA 4.426 5.106 2.447
TAM 2.875 2.376 1.697
TDC 1.981 1.037 1.499
THL 5.268 2.979 8.888
THY 1.394 1.307 1.17
TSU 3.622 3.513 2.553
TTB 3.786 2.365 2.368
TUC 1.683 1.465 2.122
UPS 1.329 0.91 2.02
VAL 1.41 2.132 1.417
VIC 2.079 1.449 3.322
VNA 4.153 6.378 5.091
VOS 197.219 140.901 9.882
VSS 3.488 2.229 2.08
WIC 1213.098 3247.048 1.065
WNG 1.431 1.614 1.336
YAK 3.92 2.69 5.928
YKC 9.179 3.81 7.452
AAE 7.864 4.37 2.814
AMS 2.396 2.317 2.816
AQU 2.127 1.955 1.792
BFE 2.214 1.277 2.126
BNG 4.349 12.36 5.43
DLR 5.429 3.651 3.666
DMC 7.756 5.325 12.196
GNA 2.003 1.869 1.73
GZH 2.419 0.907 2.815
LOV 2.079 1.601 2.687
LZH 3.254 3.984 5.472
MBO 3.086 1.526 2.139
PBQ 10.438 5.643 4.876
QSB 2.669 2.521 2.2
TAN 2.634 1.775 2.92
TEO 9.754 5.878 9.382
