 X_RMS Y_RMS Z_RMS
ABG 5.72 7.48 8.272
AIA 3.119 3.26 5.201
API 5.643 6.458 6.256
ARS   
ASC 3.725 5.934 3.244
BDV 2.133 1.909 2.31
BEL 3.288 2.028 2.298
BFO 2.181 1.911 1.45
BLC 14.468 6.515 13.057
BMT 2.838 2.115 2.258
BOU 2.742 2.503 2.891
BOX 3.087 3.999 3.754
BRD 4.081 3.684 6.535
BRW 18.137 11.077 11.994
BSL 3.217 50.761 4.48
CBB 14.651 20.269 15.544
CKI 3.384 2.26 2.903
CLF 1.955 1.554 1.772
CMO 15.033 7.672 6.884
CNB 2.781 2.068 2.036
CPL 8.729 2.534 5.42
CSY 14.951 6.595 14.099
CTA 3.497 2.784 2.695
CZT 3.663 3.482 3.409
DED 9.426 9.342 11.602
DLT 15.642 12.206 2.451
DOU 2.339 1.667 1.847
DRV 12.939 6.306 13.568
DUR 2.84 2.715 2.495
EBR 32.478 5.792 38.159
ESK 2.773 49.485 2.302
EYR 4.129 5.822 9.783
FCC 13.548 4.029 10.757
FRD 2.682 2.076 3.19
FRN 5.058 2.881 3.381
FUR 2.54 3.007 2.031
GAN 3.302 4.558 3.536
GCK 2.703 2.408 2.319
GDH 9.47 6.221 12.055
GNG 3.046 2.407 1.692
GUA 4.12 2.671 4.251
GUI 4.266 5.839 3.925
HAD 2.061 2.121 1.706
HBK 4.41 2.686 4.603
HER 2.877 2.8 2.449
HLP 3.203 4.214 3.536
HON 3.435 2.735 4.017
HRN 12.048 7.483 9.331
HUA 5.49 3.779 4.361
HYB 3.58 5.359 4.594
IPM 6.974 4.529 5.819
IQA 18.217 35.91 52.327
IRT 5.309 144.424 2.96
IZN 3.309 5.622 2.371
JAI 5.065 2.891 7.524
JCO 9.768 13.928 13.23
KAK 2.875 1.127 2.077
KDU 3.746 4.7 3.038
KEP 3.089 3.807 2.269
KIV 2.551 13.944 1.87
KMH 4.742 3.097 2.606
KNY 2.99 1.273 2.284
KOU 3.263 2.712 3.096
LER 4.394 3.452 5.435
LON 3.174 2.288 2.152
LRM 3.301 2.927 2.112
LVV 6.886 4.395 5.545
LYC 6.157 2.026 5.52
MAB 10.318 1.726 5.003
MAW 8.789 9.553 10.306
MCQ 10.503 5.727 8.633
MEA 10.376 5.441 8.907
MGD 2.551 2.821 2.652
MMB 2.733 1.317 1.733
NAQ 13.047 6.026 7.034
NCK 8.826 231.558 2.697
NEW 2.959 2.583 4.092
NGK 1.848 1.755 1.72
NUR 2.494 2.048 3.951
NVS 2.569 1.707 2.681
OTT 3.25 2.168 4.38
PAF 3.817 3.069 5.615
PAG 3.428 2.621 2.189
PET 2.45 4.202 8.056
PHU 6.599 8.336 5.904
PIL 4.863 6.398 2.993
PPT 37.6 18.383 76.689
PST 4.95 10.578 9.859
RES 11.006 6.78 13.963
SBA 17.354 19.63 27.334
SBL 3.15 2.502 2.442
SFS 591.802 1012.58 2.462
SHE 2.168 1.952 1.523
SHU 4.265 4.659 3.606
SIT 5.406 3.302 6.914
SJG 3.351 2.548 3.248
SOD 11.825 2.663 6.71
SPT 2.23 1.866 1.957
STJ 4.127 4.718 5.135
SUA 7.093 8.035 3.256
TAM 4.422 3.741 2.151
TDC 2.892 1.823 2.221
THL 8.586 4.935 13.713
THY 2.258 2.127 1.828
TSU 6.78 5.007 4.521
TTB 5.218 4.113 3.635
TUC 2.377 2.12 2.932
UPS 1.866 1.416 3.182
VAL 2.193 2.737 2.002
VIC 2.961 2.272 5.248
VNA 5.693 6.303 8.479
VOS 316.17 225.725 13.975
VSS 4.688 3.055 3.168
WIC 1454.311 4359.552 1.379
WNG 2.312 2.875 2.068
YAK 5.822 4.514 6.114
YKC 15.656 6.903 13.109
AAE 10.304 6.079 4.427
AMS 3.242 2.953 4.321
AQU 3.708 2.961 3.111
BFE 3.332 2.164 3.619
BNG 9.529 15.438 9.917
DLR 8.797 5.59 6.165
DMC 13.97 8.264 20.783
GNA 3.056 3.106 2.426
GZH 4.44 1.326 1.337
LOV 2.832 2.965 4.833
LZH 4.51 4.844 4.352
MBO 4.661 2.558 3.516
PBQ 16.315 9.694 7.514
QSB 5.492 3.336 3.789
TAN 5.018 1.023 4.121
TEO 13.568 7.835 13.188
