 X_RMS Y_RMS Z_RMS
ABG 5.735 7.482 8.27
AIA 3.115 3.259 5.202
API 5.691 6.461 6.252
ARS   
ASC 3.717 5.936 3.245
BDV 2.126 1.91 2.286
BEL 3.289 2.027 2.294
BFO 2.173 1.907 1.452
BLC 14.478 6.51 13.041
BMT 2.835 2.114 2.255
BOU 2.702 2.504 2.92
BOX 3.05 4.005 3.781
BRD 4.032 3.68 6.597
BRW 18.152 11.083 11.967
BSL 3.215 50.761 4.471
CBB 14.671 20.271 15.51
CKI 3.388 2.262 2.886
CLF 1.954 1.555 1.761
CMO 15.036 7.675 6.9
CNB 2.784 2.068 2.038
CPL 8.461 2.54 5.433
CSY 14.946 6.589 14.098
CTA 3.516 2.784 2.679
CZT 3.663 3.484 3.413
DED 9.432 9.346 11.565
DLT 15.672 12.174 2.452
DOU 2.341 1.665 1.847
DRV 12.97 6.307 13.554
DUR 2.856 2.713 2.523
EBR 32.469 5.794 38.14
ESK 2.774 49.485 2.302
EYR 3.975 5.822 9.788
FCC 13.62 4.037 10.731
FRD 2.685 2.071 3.199
FRN 5.01 2.889 3.376
FUR 2.54 3.008 2.022
GAN 3.304 4.536 3.532
GCK 2.638 2.392 2.337
GDH 9.47 6.222 12.029
GNG 3.015 2.407 1.698
GUA 4.044 2.673 4.25
GUI 4.274 5.845 3.893
HAD 2.06 2.121 1.715
HBK 4.394 2.689 4.602
HER 2.874 2.8 2.452
HLP 3.199 4.212 3.521
HON 3.346 2.741 4.009
HRN 12.046 7.481 9.331
HUA 5.497 3.779 4.362
HYB 3.525 5.368 4.586
IPM 6.936 4.533 5.815
IQA 18.215 35.91 52.358
IRT 5.3 144.426 2.962
IZN 2.9 5.619 2.384
JAI 5.031 2.892 7.53
JCO 9.761 13.926 13.189
KAK 2.874 1.127 2.062
KDU 3.719 4.702 3.025
KEP 3.09 3.808 2.276
KIV 2.553 13.945 1.866
KMH 4.81 3.097 2.621
KNY 2.987 1.274 2.274
KOU 3.234 2.711 3.097
LER 4.392 3.451 5.445
LON 3.177 2.291 2.186
LRM 3.312 2.931 2.103
LVV 6.835 4.393 5.551
LYC 6.158 2.027 5.529
MAB 10.305 1.736 4.999
MAW 8.783 9.553 10.308
MCQ 10.5 5.728 8.634
MEA 10.36 5.439 8.937
MGD 2.493 2.823 2.674
MMB 2.735 1.318 1.722
NAQ 13.047 6.027 7.045
NCK 8.826 231.557 2.697
NEW 2.82 2.573 4.13
NGK 1.852 1.755 1.722
NUR 2.499 2.05 3.951
NVS 2.601 1.709 2.684
OTT 3.217 2.169 4.405
PAF 3.778 3.066 5.644
PAG 3.394 2.628 2.161
PET 2.471 4.162 8.039
PHU 6.512 8.336 5.901
PIL 4.826 6.392 2.984
PPT 37.476 18.372 76.678
PST 4.96 10.578 9.881
RES 11.009 6.778 13.953
SBA 17.35 19.636 27.322
SBL 3.132 2.501 2.48
SFS 591.768 1012.586 2.457
SHE 2.064 1.962 1.523
SHU 4.254 4.662 3.616
SIT 5.389 3.308 6.964
SJG 3.319 2.554 3.247
SOD 11.825 2.663 6.71
SPT 2.227 1.865 1.946
STJ 4.137 4.72 5.173
SUA 7.086 8.037 3.251
TAM 4.42 3.738 2.136
TDC 2.845 1.847 2.206
THL 8.586 4.935 13.713
THY 2.263 2.128 1.82
TSU 6.749 5.039 4.506
TTB 5.128 4.103 3.628
TUC 2.377 2.116 2.935
UPS 1.865 1.416 3.179
VAL 2.201 2.737 2.005
VIC 2.985 2.269 5.256
VNA 5.688 6.292 8.522
VOS 316.169 225.722 13.975
VSS 4.688 3.064 3.17
WIC 1454.298 4359.555 1.383
WNG 2.29 2.876 2.063
YAK 6.066 4.522 6.14
YKC 15.677 6.903 13.068
AAE 10.294 6.078 4.43
AMS 3.261 2.955 4.347
AQU 3.704 2.962 3.087
BFE 3.226 2.163 3.624
BNG 9.628 15.454 9.91
DLR 8.842 5.576 6.18
DMC 13.984 8.247 20.74
GNA 3.048 3.106 2.418
GZH 4.45 1.326 1.312
LOV 2.828 2.966 4.837
LZH 4.458 4.84 4.348
MBO 4.674 2.56 3.506
PBQ 16.306 9.69 7.448
QSB 5.27 3.293 3.831
TAN 4.773 1.033 4.042
TEO 13.483 7.831 13.176
