 X_RMS Y_RMS Z_RMS Latitude Longitude
ABG 4.73 6.211 5.479 18.638 72.872
AIA 2.027 2.037 3.378 -65.245 -64.258
API 4.884 5.277 4.382 -13.815 -171.781
ARS 1.399 1.269 3.159 56.433 58.567
ASC 2.416 3.441 2.729 -7.95 -14.38
BDV 1.359 1.142 1.447 49.08 14.02
BEL 2.135 1.279 1.545 51.84 20.79
BFO 1.445 1.37 0.975 48.331 8.325
BLC 8.78 4.152 8.774 64.318 -96.012
BMT 1.896 1.588 1.699 40.3 116.2
BOU 1.91 1.633 1.782 40.14 -105.233
BOX 2.064 2.372 2.575 58.07 38.23
BRW 10.596 6.512 7.418 71.32 -156.62
CBB 8.702 11.379 9.13 69.123 -105.031
CKI 2.275 1.519 2.306 -12.188 96.834
CLF 1.24 0.95 1.163 48.025 2.26
CMO 9.105 4.518 4.151 64.87 -147.86
CNB 1.685 1.285 1.369 -35.32 149.36
CSY 9.17 4.185 8.344 -66.283 110.533
CTA 2.218 1.715 1.732 -20.09 146.264
CZT 2.757 2.405 2.955 -46.43 51.87
DED 7.44 5.485 7.089 70.36 -148.79
DLT 6.56 8.156 3.963 11.94 108.48
DOU 1.498 1.04 1.21 50.1 4.6
DRV 7.87 3.747 8.434 -66.67 140.01
EYR 2.44 4.094 5.569 -43.474 172.393
FCC 8.565 2.565 6.608 58.759 -94.088
FRD 2.152 1.222 2.019 38.21 -77.367
FRN 3.008 1.788 2.515 37.09 -119.72
FUR 1.596 1.815 1.26 48.17 11.28
GAN 3.218 2.867 2.988 -0.695 73.154
GCK 1.914 1.915 1.466 44.633 20.767
GDH 6.485 3.77 7.218 69.252 -53.533
GNG 1.772 1.492 1.111 -31.356 115.715
GUA 2.689 1.927 2.675 13.59 144.87
GUI 2.806 3.57 2.368 28.321 -16.441
HAD 1.316 1.359 1.148 51.0 -4.48
HBK 3.746 3.028 3.192 -25.88 27.71
HER 1.842 1.67 1.563 -34.43 19.23
HLP 2.237 2.69 2.348 54.61 18.82
HON 2.37 1.692 2.398 21.32 -158.0
HRN 8.126 4.353 6.15 77.0 15.55
HUA 4.78 2.268 2.63 -12.05 -75.33
HYB 2.651 3.053 2.87 17.42 78.55
IPM 5.252 3.087 6.119 -27.171 -109.42
IZN 1.841 3.607 1.731 40.5 29.72
JAI 5.411 3.199 4.666 26.92 75.8
KAK 1.772 0.733 1.375 36.232 140.186
KDU 2.41 2.83 1.966 -12.69 132.47
KEP 1.986 2.106 1.73 -54.282 -36.493
KMH 6.212 1.838 3.188 -26.54 18.11
KNY 1.834 0.84 1.575 31.42 130.88
KOU 2.412 1.931 2.933 5.21 -52.73
LER 2.813 2.22 3.318 60.138 -1.183
LON 2.135 1.358 1.321 45.408 16.659
LRM 2.092 1.744 1.494 -22.22 114.1
LVV 4.036 2.851 3.394 49.9 23.75
LYC 3.657 1.246 3.421 64.612 18.748
MAB 9.673 1.143 4.58 50.298 5.682
MAW 5.484 6.057 6.228 -67.6 62.88
MCQ 6.484 3.506 4.976 -54.5 158.95
MEA 6.002 3.22 5.281 54.616 -113.347
MGD 1.519 1.737 2.116 60.051 150.728
MMB 1.67 0.792 1.159 43.91 144.19
NAQ 7.528 3.586 4.409 61.167 -45.433
NEW 2.072 1.8 2.442 48.27 -117.12
NGK 1.192 1.041 1.1 52.07 12.68
NUR 1.691 1.203 2.422 60.51 24.66
NVS 1.646 1.107 1.83 54.85 83.23
OTT 2.234 1.276 3.125 45.403 -75.552
PAF 2.416 2.1 3.488 -49.35 70.26
PAG 2.566 1.611 1.584 42.515 24.177
PET 1.655 2.927 5.593 52.971 158.248
PHU 3.852 5.413 3.899 21.03 105.95
PIL 3.241 3.923 1.907 -31.4 -63.88
PST 3.296 7.158 6.881 -51.7 -57.89
RES 6.697 3.959 8.743 74.69 -94.895
SBA 10.41 12.605 16.151 -77.85 166.762
SBL 1.969 1.534 1.802 43.932 -60.01
SHU 3.971 3.931 2.576 55.35 -160.46
SIT 3.176 1.981 4.305 57.06 -135.33
SJG 2.352 2.613 2.044 18.11 -66.15
SOD 7.367 1.625 4.075 67.37 26.63
SPT 1.424 1.098 1.252 39.55 -4.35
STJ 2.567 3.06 3.273 47.595 -52.677
SUA 4.426 5.106 2.447 44.68 26.25
TAM 2.875 2.376 1.697 22.79 5.53
TDC 1.981 1.037 1.499 -37.067 -12.316
THL 5.268 2.979 8.888 77.47 -69.227
THY 1.394 1.307 1.17 46.9 17.89
TSU 3.622 3.513 2.553 -19.202 17.584
TUC 1.683 1.465 2.122 32.17 -110.73
UPS 1.329 0.91 2.02 59.903 17.353
VAL 1.41 2.132 1.417 51.933 -10.25
VIC 2.079 1.449 3.322 48.52 -123.42
VNA 4.153 6.378 5.091 -70.683 -8.283
VSS 3.488 2.229 2.08 -22.4 -43.65
WNG 1.431 1.614 1.336 53.725 9.053
YAK 3.92 2.69 5.928 61.96 129.66
YKC 9.179 3.81 7.452 62.48 -114.482
AAE 7.864 4.37 2.814 9.035 38.77
AMS 2.396 2.317 2.816 -37.8 77.57
AQU 2.127 1.955 1.792 42.38 13.32
BFE 2.214 1.277 2.126 55.625 11.672
BNG 4.349 12.36 5.43 4.33 18.57
DLR 5.429 3.651 3.666 29.49 -100.917
GNA 2.003 1.869 1.73 -31.78 115.947
GZH 2.419 0.907 2.815 23.97 112.45
LOV 2.079 1.601 2.687 59.34 17.82
LZH 3.254 3.984 5.472 36.087 103.845
MBO 3.086 1.526 2.139 14.38 -16.97
PBQ 10.438 5.643 4.876 55.277 -77.745
QSB 2.669 2.521 2.2 33.871 35.644
TAN 2.634 1.775 2.92 -18.917 47.552
TEO 9.754 5.878 9.382 19.747 -99.182
